Title,Title20,Country/Region,SCIE,SSCI,AHCI,ESCI
2D MATERIALS,2D MATER,ENGLAND,X,,,
3 BIOTECH,3 BIOTECH,GERMANY,X,,,
3C EMPRESA,3C EMPRESA,SPAIN,,,,X
3C TECNOLOGIA,3C TECNOL,SPAIN,,,,X
3C TIC,3C TIC,SPAIN,,,,X
3D PRINTING AND ADDITIVE MANUFACTURING,3D PRINT ADDIT MANUF,UNITED STATES,X,,,
3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES,3L-LANG LINGUIST LIT,MALAYSIA,,,,X
452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA,452 F-REV TEOR LIT L,SPAIN,,,,X
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,4OR-Q J OPER RES,GERMANY,X,,,
A & A PRACTICE,A A PRACT,UNITED STATES,,,,X
A + U-ARCHITECTURE AND URBANISM,A U-ARCHIT URBAN,JAPAN,,,X,
A&C-REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL,A C-REV DIREITO ADM,BRAZIL,,,,X
AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,AAA-ARB ANGLIST AM,GERMANY,,,X,
AACN ADVANCED CRITICAL CARE,AACN ADV CRIT CARE,UNITED STATES,,,,X
AAPG BULLETIN,AAPG BULL,UNITED STATES,X,,,
AAPS JOURNAL,AAPS J,UNITED STATES,X,,,
AAPS PHARMSCITECH,AAPS PHARMSCITECH,UNITED STATES,X,,,
AATCC JOURNAL OF RESEARCH,AATCC J RES,UNITED STATES,X,,,
AATCC REVIEW,AATCC REV,UNITED STATES,X,,,
AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE,AB IMP,UNITED STATES,,,X,
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,ABACUS,AUSTRALIA,,X,,
ABAKOS,ABAKOS,BRAZIL,,,,X
ABANICO VETERINARIO,ABANICO VET,MEXICO,,,,X
ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY,ABCD-ARQ BRAS CIR DI,BRAZIL,,,,X
ABDOMINAL RADIOLOGY,ABDOM RADIOL,UNITED STATES,X,,,
ABE JOURNAL,ABE J,FRANCE,,,,X
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,GERMANY,X,,,
ABORIGINAL HISTORY,ABORIG HIST,AUSTRALIA,,,,X
ABORIGINAL POLICY STUDIES,ABORIG POLICY STUD,CANADA,,,,X
